hold,entry,exit,group,sector,ticker,stock_ret,iv_put,put_premium,put_ret_on_premium,iv_call,atm_strike,c30_strike,atm_premium,c30_premium,atm_ret_on_premium,c30_ret_on_premium
3 weeks,2018-06-04,2018-06-25,G1,XLU,NRG,-0.08242220237903009,,,,0.2854,1.0,1.040098080166666,0.028664844217790583,0.012954944815560723,-1.0,-1.0
3 weeks,2018-06-04,2018-06-25,G3,XLU,PCG,0.0069046571065238815,,,,0.4645,1.0,1.0679133532899803,0.046288372988023796,0.02062982896518612,-0.8508338776929942,-1.0
3 weeks,2018-06-25,2018-07-17,G2,XLK,LRCX,0.03643099121238258,0.34509999999999996,0.0334400627689941,-1.0,,,,,,,
3 weeks,2018-06-25,2018-07-17,G4,XLK,AVGO,-0.17474884122761947,0.2622,0.025279946350073017,5.91254794641266,,,,,,,
3 weeks,2018-06-25,2018-07-17,G1,XLK,AMD,0.1164792337886249,,,,0.5134000000000001,1.0,1.0759738709214628,0.05109359493432864,0.02266766208997901,1.2797228094507243,0.7869228289347459
3 weeks,2018-06-25,2018-07-17,G3,XLK,ORCL,0.10866742843001176,,,,0.214,1.0,1.0297348705760636,0.02163206404385453,0.009799758123936157,4.023442432941723,7.054541434155746
3 weeks,2018-06-25,2018-07-17,G4,XLY,HD,0.024034571587999043,0.1744,0.016635665691319797,-1.0,,,,,,,
3 weeks,2018-06-25,2018-07-17,G1,XLY,TSLA,-0.030990048320625685,,,,0.5752,1.0,1.0864711504604245,0.057168320040616595,0.025208788018823928,-1.0,-1.0
3 weeks,2018-06-25,2018-07-17,G3,XLY,GM,-0.01428204262332422,,,,0.2785,1.0,1.0390722739237586,0.027982101122561685,0.0126524564572022,-1.0,-1.0
3 weeks,2018-06-25,2018-07-17,G2,XLV,DHR,0.00892783136268216,0.2084,0.019983201024789538,-1.0,,,,,,,
3 weeks,2018-06-25,2018-07-17,G4,XLV,ISRG,0.1062347631245959,0.265,0.02555559652234603,-1.0,,,,,,,
3 weeks,2018-06-25,2018-07-17,G1,XLV,BSX,0.05697390697102689,,,,0.25730000000000003,1.0,1.0359665748732412,0.02589506138281869,0.011719841662161442,1.2001842794946604,0.7924586955478996
3 weeks,2018-06-25,2018-07-17,G4,XLI,TDG,0.0738319691840712,0.2422,0.02331096009545555,-1.0,,,,,,,
3 weeks,2018-06-25,2018-07-17,G3,XLI,GD,0.022039035126480533,,,,0.2169,1.0,1.0301475907409312,0.021917586057853898,0.009928999462707378,0.005541169921997602,-1.0
3 weeks,2018-06-25,2018-07-17,G2,XLC,T,0.02228504695406741,0.1974,0.01890017523965624,-1.0,,,,,,,
3 weeks,2018-06-25,2018-07-17,G4,XLC,OMC,-0.056460154834404586,0.2601,0.025073207362599093,1.251812224016637,,,,,,,
3 weeks,2018-06-25,2018-07-17,G1,XLC,NFLX,-0.013004576981664573,,,,0.49479999999999996,1.0,1.072880550468844,0.04926473150903616,0.021895384830632195,-1.0,-1.0
3 weeks,2018-06-25,2018-07-17,G2,XLB,NEM,-0.0013516804035439423,0.2205,0.02117451803691641,-0.9361647617581021,,,,,,,
3 weeks,2018-06-25,2018-07-17,G4,XLB,VMC,-0.037218560292483605,0.2516,0.024236395348910564,0.5356475150978495,,,,,,,
3 weeks,2018-06-25,2018-07-17,G3,XLB,IP,0.0015084015688433539,,,,0.25420000000000004,1.0,1.035515462212999,0.025589871020263912,0.011583058887972794,-0.9410547412431716,-1.0
3 weeks,2018-06-25,2018-07-17,G4,XLE,OKE,0.0237264234943253,0.2051,0.01965829402430028,-1.0,,,,,,,
3 weeks,2018-06-25,2018-07-17,G1,XLE,EQT,0.020999729414056922,,,,0.3472,1.0,1.0493870393291134,0.03474424568352275,0.01564138872474312,-0.395591154709805,-1.0
3 weeks,2018-06-25,2018-07-17,G3,XLE,MPC,0.024725023471152685,,,,0.3044,1.0,1.04291573699162,0.030531646136397216,0.013785228932351247,-0.19018374048041609,-1.0
3 weeks,2018-06-25,2018-07-17,G4,XLP,KO,0.038320350689433624,0.13970000000000002,0.013219373119865423,-1.0,,,,,,,
3 weeks,2018-06-25,2018-07-17,G1,XLP,PG,0.028795540694127153,,,,0.1718,1.0,1.0238038087133874,0.017477187827366816,0.007908506154851917,0.647607211100484,-0.36881480737328465
3 weeks,2018-06-25,2018-07-17,G3,XLP,MO,0.004906278113319118,,,,0.19519999999999998,1.0,1.0270753664971812,0.019781077247718503,0.008959658281538347,-0.7519711362592707,-1.0
3 weeks,2018-06-25,2018-07-17,G2,XLU,PCG,0.006621075473450588,0.5778,0.05632631844142867,-1.0,,,,,,,
3 weeks,2018-06-25,2018-07-17,G4,XLU,SO,0.022532556244339474,0.1539,0.014617351519931668,-1.0,,,,,,,
3 weeks,2018-06-25,2018-07-17,G1,XLU,D,0.03682957051335811,,,,0.16870000000000002,1.0,1.0233735981092171,0.01717197544211188,0.00776879148469429,1.1447486130826068,0.732054777200702
3 weeks,2018-07-17,2018-08-07,G2,XLK,KLAC,0.11587464196437547,0.2893,0.02791109983256427,-1.0,,,,,,,
3 weeks,2018-07-17,2018-08-07,G4,XLK,NOW,-0.028556559119275793,0.43170000000000003,0.0419238554919553,-0.3188470195744403,,,,,,,
3 weeks,2018-07-17,2018-08-07,G1,XLK,AMD,0.15945456389385826,,,,0.664,1.0,1.1022354712342743,0.06592561202709235,0.02879447883279888,1.4187043394960046,0.9871550025905507
3 weeks,2018-07-17,2018-08-07,G2,XLY,SBUX,0.015405778172891571,0.2656,0.025578135451326627,-1.0,,,,,,,
3 weeks,2018-07-17,2018-08-07,G1,XLY,AMZN,0.01006001135349921,,,,0.3392,1.0,1.048239586923311,0.03399222840493089,0.01529592519354801,-0.704049665892454,-1.0
3 weeks,2018-07-17,2018-08-07,G3,XLY,TSLA,0.17626823626167698,,,,0.5821000000000001,1.0,1.087740693629257,0.0578807081249833,0.025490159230758022,2.0453711084711776,2.4730086160308122
3 weeks,2018-07-17,2018-08-07,G4,XLV,UNH,0.02940584097100918,0.1674,0.01591057858780864,-1.0,,,,,,,
3 weeks,2018-07-17,2018-08-07,G1,XLV,VRTX,-0.027821906637502503,,,,0.34700000000000003,1.0,1.0494301079888277,0.03475985368997014,0.015632760403956912,-1.0,-1.0
3 weeks,2018-07-17,2018-08-07,G3,XLV,MCK,-0.0581808176176446,,,,0.3191,1.0,1.045194787740932,0.03201400057345805,0.014424945746467266,-1.0,-1.0
3 weeks,2018-07-17,2018-08-07,G2,XLI,DE,0.05884044332266036,0.25370000000000004,0.02440667456196088,-1.0,,,,,,,
3 weeks,2018-07-17,2018-08-07,G4,XLI,CTAS,0.08735730216326254,0.3953,0.0383428729280998,-1.0,,,,,,,
3 weeks,2018-07-17,2018-08-07,G3,XLI,PH,0.09662962516770723,,,,0.2844,1.0,1.040016032047655,0.0285984962932854,0.012911137821917251,2.3788358722341223,3.3848647501808884
3 weeks,2018-07-17,2018-08-07,G2,XLC,MTCH,-0.02507523785588095,0.48310000000000003,0.0469791839317502,-0.46624790476757805,,,,,,,
3 weeks,2018-07-17,2018-08-07,G1,XLC,LYV,-0.03382577585968427,,,,0.33880000000000005,1.0,1.0481786698823543,0.03395286230335146,0.015278634194346568,-1.0,-1.0
3 weeks,2018-07-17,2018-08-07,G2,XLB,NEM,-0.023551631873399148,0.2554,0.024574028174743308,-0.041604750107472444,,,,,,,
3 weeks,2018-07-17,2018-08-07,G1,XLB,IFF,0.040623115969657286,,,,0.2229,1.0,1.0310759740731015,0.022544250227448923,0.0101961004751456,0.8019280109034748,-0.06364772298701349
3 weeks,2018-07-17,2018-08-07,G3,XLB,LYB,0.04893147410312193,,,,0.2606,1.0,1.0365203898802855,0.026255654891829898,0.011865333998862422,0.8636546795238473,0.045995352851117444
3 weeks,2018-07-17,2018-08-07,G2,XLE,HAL,-0.06724345173735291,0.3029,0.029249768717125577,1.2989396048790725,,,,,,,
3 weeks,2018-07-17,2018-08-07,G4,XLE,OKE,-0.017888954801967727,0.2141,0.020508170912508426,-0.12771573446090323,,,,,,,
3 weeks,2018-07-17,2018-08-07,G1,XLE,FANG,0.03130495944180711,,,,0.36979999999999996,1.0,1.052938983479559,0.03700352533715628,0.016613667133194406,-0.154000621384769,-1.0
3 weeks,2018-07-17,2018-08-07,G3,XLE,PSX,0.10498867608324325,,,,0.2506,1.0,1.0350652046087752,0.02527122439014714,0.011424082746855926,3.1544752427657095,5.120707721038877
3 weeks,2018-07-17,2018-08-07,G4,XLP,PG,0.041984349010735666,0.18280000000000002,0.017426684030023648,-1.0,,,,,,,
3 weeks,2018-07-17,2018-08-07,G1,XLP,KDP,-0.044070562744396025,,,,0.3226,1.0,1.0457225922063762,0.0323584797149476,0.014576918492404079,-1.0,-1.0
3 weeks,2018-07-17,2018-08-07,G4,XLU,DTE,0.03731888768412417,0.19469999999999998,0.018598238510751132,-1.0,,,,,,,
3 weeks,2018-07-17,2018-08-07,G1,XLU,AEE,0.021544282357761624,,,,0.20079999999999998,1.0,1.0279368045693975,0.020368510949680754,0.009210310901859833,0.057724956477455125,-1.0
3 weeks,2018-08-07,2018-08-28,G2,XLK,AVGO,-0.026689648141454136,0.242,0.023245032127965398,0.14818719090281074,,,,,,,
3 weeks,2018-08-07,2018-08-28,G4,XLK,APH,0.000422681172741024,0.1315,0.012366970492525227,-1.0,,,,,,,
3 weeks,2018-08-07,2018-08-28,G1,XLK,AMD,0.28067484258766373,,,,0.4363,1.0,1.063442201108928,0.043555513930929865,0.01944357508702565,5.44407142188143,10.172463937647516
3 weeks,2018-08-07,2018-08-28,G2,XLY,F,-0.006944304979118687,0.1815,0.017288968513536666,-0.5983389654691367,,,,,,,
3 weeks,2018-08-07,2018-08-28,G4,XLY,RCL,0.07085565595721133,0.2298,0.022043998860339635,-1.0,,,,,,,
3 weeks,2018-08-07,2018-08-28,G1,XLY,ORLY,0.05182623483862647,,,,0.23420000000000002,1.0,1.0327155913775155,0.023666420248665557,0.010698063634285458,1.1898637095970885,0.7863647211692217
3 weeks,2018-08-07,2018-08-28,G3,XLY,MAR,0.005302099743505595,,,,0.2159,1.0,1.0300970563590697,0.021864843261091407,0.00988444398310143,-0.7575057053831885,-1.0
3 weeks,2018-08-07,2018-08-28,G2,XLV,SYK,0.028514663273535135,0.1537,0.014552213490672051,-1.0,,,,,,,
3 weeks,2018-08-07,2018-08-28,G4,XLV,DHR,0.00430282298167195,0.1336,0.012573668992145914,-1.0,,,,,,,
3 weeks,2018-08-07,2018-08-28,G1,XLV,PFE,0.016160494752553545,,,,0.1362,1.0,1.018998974184369,0.014018845233539674,0.006297527945197101,0.15276932467234494,-1.0
3 weeks,2018-08-07,2018-08-28,G3,XLV,MCK,0.02564065149635053,,,,0.2214,1.0,1.030881261368127,0.02240630480142733,0.010129362463838417,0.1443498481158374,-1.0
3 weeks,2018-08-07,2018-08-28,G2,XLI,GE,-0.030395138124736043,0.2177,0.020852790014922566,0.45760534216211757,,,,,,,
3 weeks,2018-08-07,2018-08-28,G4,XLI,LMT,0.02183315842030331,0.16449999999999998,0.01561538925060482,-1.0,,,,,,,
3 weeks,2018-08-07,2018-08-28,G1,XLI,WM,0.005895064382746007,,,,0.1232,1.0,1.0172353880102556,0.012739316041062751,0.005705675165780375,-0.537254247893337,-1.0
3 weeks,2018-08-07,2018-08-28,G3,XLI,CAT,-0.002668660972604542,,,,0.2243,1.0,1.0312957143336203,0.022691801495389914,0.010258366903433859,-1.0,-1.0
3 weeks,2018-08-07,2018-08-28,G2,XLC,NFLX,0.04735242673434659,0.2824,0.027222000540778297,-1.0,,,,,,,
3 weeks,2018-08-07,2018-08-28,G4,XLC,VZ,0.04174636526230513,0.1354,0.012750841840511737,-1.0,,,,,,,
3 weeks,2018-08-07,2018-08-28,G1,XLC,DIS,-0.03414564777930862,,,,0.308,1.0,1.04354733282513,0.030931078641383367,0.013942108388931245,-1.0,-1.0
3 weeks,2018-08-07,2018-08-28,G2,XLB,FCX,-0.04557283615725649,0.3301,0.0319169449197308,0.42785709195756283,,,,,,,
3 weeks,2018-08-07,2018-08-28,G4,XLB,SHW,0.021210127809396573,0.1769,0.016836112361231968,-1.0,,,,,,,
3 weeks,2018-08-07,2018-08-28,G3,XLB,IP,-0.01707108857277695,,,,0.2028,1.0,1.0282388316664095,0.020575172212865787,0.009299745261353869,-1.0,-1.0
3 weeks,2018-08-07,2018-08-28,G2,XLE,HAL,-0.03235779868625954,0.2096,0.020055361661908775,0.6134238430472594,,,,,,,
3 weeks,2018-08-07,2018-08-28,G4,XLE,WMB,-0.04719665175013399,0.17120000000000002,0.01627496937866691,1.8999533364406203,,,,,,,
3 weeks,2018-08-07,2018-08-28,G1,XLE,MPC,0.03844734383161308,,,,0.23309999999999997,1.0,1.0325574432419165,0.02355812995334099,0.01064926167356576,0.6320201946318103,-0.4469193480035416
3 weeks,2018-08-07,2018-08-28,G4,XLP,KR,0.041879972594417,0.2183,0.02091185858487537,-1.0,,,,,,,
3 weeks,2018-08-07,2018-08-28,G1,XLP,HSY,0.009096787409037299,,,,0.1923,1.0,1.0267591546129264,0.019541464285434566,0.00882971894865507,-0.5344879341607116,-1.0
3 weeks,2018-08-07,2018-08-28,G4,XLU,XEL,0.007838725232756971,0.2248,0.021551765828311708,-1.0,,,,,,,
3 weeks,2018-08-07,2018-08-28,G1,XLU,DTE,0.003443663408239539,,,,0.1429,1.0,1.0199129655842425,0.014678345209222222,0.006601810713459303,-0.7653915779228369,-1.0
3 weeks,2018-08-28,2018-09-19,G2,XLK,AMAT,-0.10046083345800993,0.2507,0.024080599891242012,3.171857591244935,,,,,,,
3 weeks,2018-08-28,2018-09-19,G4,XLK,IBM,0.016849710400371976,0.12369999999999999,0.011578959464570703,-1.0,,,,,,,
3 weeks,2018-08-28,2018-09-19,G1,XLK,AMD,0.2459081850309448,,,,0.5821999999999999,1.0,1.0878224818410993,0.057919523662607206,0.025494233634249304,3.245687282640807,5.200841549418884
3 weeks,2018-08-28,2018-09-19,G2,XLY,BKNG,-0.002304080372761752,0.1686,0.015998441033743777,-0.8559809441493695,,,,,,,
3 weeks,2018-08-28,2018-09-19,G4,XLY,RCL,0.09230133791906603,0.1989,0.018981260396812364,-1.0,,,,,,,
3 weeks,2018-08-28,2018-09-19,G1,XLY,TJX,0.016448330317483828,,,,0.1588,1.0,1.0221370028482428,0.016264434910269503,0.007321883234039655,0.01130659676950807,-1.0
3 weeks,2018-08-28,2018-09-19,G3,XLY,TSLA,-0.0411722726454149,,,,0.4654,1.0,1.0681908645336349,0.0464376346270953,0.0206675542013446,-1.0,-1.0
3 weeks,2018-08-28,2018-09-19,G2,XLV,GILD,-0.006356504062069113,0.18309999999999998,0.017425846983540036,-0.6352255320459722,,,,,,,
3 weeks,2018-08-28,2018-09-19,G4,XLV,MDT,0.007204450455269962,0.1242,0.011628165884761314,-1.0,,,,,,,
3 weeks,2018-08-28,2018-09-19,G1,XLV,CVS,0.05392443157924953,,,,0.2168,1.0,1.0302667094847804,0.021974106858346002,0.009924544411929867,1.4539987871574591,1.383759003187207
3 weeks,2018-08-28,2018-09-19,G3,XLV,MCK,0.03595444860073882,,,,0.19760000000000003,1.0,1.0275463409009524,0.020083975421758448,0.009067123518352123,0.7902057658259554,-0.07268190592440305
3 weeks,2018-08-28,2018-09-19,G2,XLI,GE,0.017443168625913108,0.205,0.019581771482165652,-1.0,,,,,,,
3 weeks,2018-08-28,2018-09-19,G4,XLI,PH,0.08758707268503318,0.1912,0.018223239951317347,-1.0,,,,,,,
3 weeks,2018-08-28,2018-09-19,G1,XLI,ADP,0.02664612343529882,,,,0.1888,1.0,1.0263091816927064,0.0192176673579731,0.008672770882779608,0.38654306680169537,-0.9611494703196332
3 weeks,2018-08-28,2018-09-19,G4,XLC,T,0.021426292153016835,0.1323,0.01242534554046196,-1.0,,,,,,,
3 weeks,2018-08-28,2018-09-19,G1,XLC,MTCH,0.15317252055657726,,,,0.41969999999999996,1.0,1.060833046400336,0.04194266023495181,0.018741462129563652,2.6519505367219196,3.927015486725601
3 weeks,2018-08-28,2018-09-19,G3,XLC,OMC,-0.006338310570840999,,,,0.2134,1.0,1.0297828619394702,0.021639396856427424,0.009773006928984727,-1.0,-1.0
3 weeks,2018-08-28,2018-09-19,G2,XLB,NEM,-0.005350191359605017,0.2366,0.02269258672752707,-0.764231754455958,,,,,,,
3 weeks,2018-08-28,2018-09-19,G4,XLB,PPG,0.04714660698301598,0.1744,0.01656939821752945,-1.0,,,,,,,
3 weeks,2018-08-28,2018-09-19,G1,XLB,ECL,0.058481451378602944,,,,0.1174,1.0,1.016493668120755,0.012189676615690629,0.00544099723956584,3.797621234949352,6.716927873537798
3 weeks,2018-08-28,2018-09-19,G3,XLB,VMC,0.019876901118445867,,,,0.22440000000000002,1.0,1.031351553576729,0.02272227908904352,0.010262813678792716,-0.12522414496570733,-1.0
3 weeks,2018-08-28,2018-09-19,G2,XLE,FANG,0.06159178219475536,0.276,0.02657104323591341,-1.0,,,,,,,
3 weeks,2018-08-28,2018-09-19,G1,XLE,VLO,-0.08879447268175422,,,,0.1997,1.0,1.027842469227183,0.020290708618934335,0.009161103071420542,-1.0,-1.0
3 weeks,2018-08-28,2018-09-19,G3,XLE,EOG,0.018649010965184898,,,,0.2207,1.0,1.030822835274809,0.02235803795573925,0.010098209565418736,-0.16589232909868734,-1.0
3 weeks,2018-08-28,2018-09-19,G4,XLP,PG,0.00622842346392849,0.1168,0.010899941256341248,-1.0,,,,,,,
3 weeks,2018-08-28,2018-09-19,G1,XLP,SYY,-0.01989236485467527,,,,0.14550000000000002,1.0,1.0203096704520307,0.014955262939048796,0.006719753704896828,-1.0,-1.0
3 weeks,2018-08-28,2018-09-19,G4,XLU,ED,-0.0016570488270453154,0.1411,0.013291481735314886,-0.8753300151146735,,,,,,,
3 weeks,2018-08-28,2018-09-19,G1,XLU,DTE,-0.007103802618743882,,,,0.1561,1.0,1.021764934835483,0.01599865656344654,0.007199807805538917,-1.0,-1.0
3 weeks,2018-09-19,2018-10-10,G2,XLK,LRCX,-0.08753851767437248,0.2902,0.02795616482752573,2.1312777777079694,,,,,,,
3 weeks,2018-09-19,2018-10-10,G4,XLK,ORCL,-0.04106857102431416,0.1539,0.01453911779036249,1.8246948416318065,,,,,,,
3 weeks,2018-09-19,2018-10-10,G1,XLK,AMD,-0.19897466410251208,,,,0.7023,1.0,1.1093194168404283,0.06972593701207284,0.030317591262498403,-1.0,-1.0
3 weeks,2018-09-19,2018-10-10,G3,XLK,TXN,-0.07571955638205508,,,,0.21239999999999998,1.0,1.0296656082400544,0.02155336465365491,0.009728412755842115,-1.0,-1.0
3 weeks,2018-09-19,2018-10-10,G2,XLY,AZO,0.03167252570050283,0.2152,0.020573450130159175,-1.0,,,,,,,
3 weeks,2018-09-19,2018-10-10,G4,XLY,SBUX,0.010463437608366544,0.1487,0.014027280263958346,-1.0,,,,,,,
3 weeks,2018-09-19,2018-10-10,G1,XLY,TJX,-0.006765363055615592,,,,0.1984,1.0,1.0276839438259493,0.020175176184406726,0.009102931031828333,-1.0,-1.0
3 weeks,2018-09-19,2018-10-10,G3,XLY,TSLA,-0.14092704525768407,,,,0.6332,1.0,1.0968037612787418,0.06294144773752941,0.02755945006789205,-1.0,-1.0
3 weeks,2018-09-19,2018-10-10,G2,XLV,ABBV,0.022632191402789603,0.24489999999999998,0.023497131403748404,-1.0,,,,,,,
3 weeks,2018-09-19,2018-10-10,G4,XLV,ABT,0.006131432308432494,0.1321,0.012393452605297424,-1.0,,,,,,,
3 weeks,2018-09-19,2018-10-10,G1,XLV,BSX,-0.03680984279357524,,,,0.2636,1.0,1.0370450190831637,0.026593447978150844,0.011997496833734458,-1.0,-1.0
3 weeks,2018-09-19,2018-10-10,G4,XLI,LMT,-0.007516303008647918,0.1729,0.016409389664670437,-0.5419510924997667,,,,,,,
3 weeks,2018-09-19,2018-10-10,G1,XLI,UNP,-0.051228406122992176,,,,0.16920000000000002,1.0,1.0236001660541376,0.0173007213197632,0.007791333400554382,-1.0,-1.0
3 weeks,2018-09-19,2018-10-10,G3,XLI,GE,0.032659189312923775,,,,0.2596,1.0,1.0364609737294068,0.026199707709675238,0.011821257942766415,0.2465478498778506,-1.0
3 weeks,2018-09-19,2018-10-10,G2,XLC,META,-0.07163000350876458,0.2443,0.02343806831199093,2.0561393778393713,,,,,,,
3 weeks,2018-09-19,2018-10-10,G1,XLC,MTCH,-0.14902954223860654,,,,0.4507,1.0,1.065830358679399,0.045003909230134954,0.02005033955829783,-1.0,-1.0
3 weeks,2018-09-19,2018-10-10,G3,XLC,NWSA,0.019968279215765383,,,,1.7056,1.0,1.349107126646155,0.16746946235325005,0.06573383069264165,-0.8807646544320692,-1.0
3 weeks,2018-09-19,2018-10-10,G2,XLB,NEM,-0.030457008751095693,0.2375,0.022768682483189237,0.3376711091466513,,,,,,,
3 weeks,2018-09-19,2018-10-10,G4,XLB,PPG,-0.13428960969696957,0.1616,0.01529705435209467,7.778788818160988,,,,,,,
3 weeks,2018-09-19,2018-10-10,G1,XLB,ECL,-0.04447823995773337,,,,0.1164,1.0,1.0163835413259739,0.01210399251908585,0.005395324332667449,-1.0,-1.0
3 weeks,2018-09-19,2018-10-10,G3,XLB,VMC,-0.08014337560963902,,,,0.24420000000000003,1.0,1.03422435695899,0.02468377632748241,0.011141108735115719,-1.0,-1.0
3 weeks,2018-09-19,2018-10-10,G2,XLE,DVN,-0.06445962594192789,0.2833,0.027277008726297097,1.3631486351281592,,,,,,,
3 weeks,2018-09-19,2018-10-10,G4,XLE,XOM,-0.0013001082308914391,0.135,0.012678865161782247,-0.8974586278580866,,,,,,,
3 weeks,2018-09-19,2018-10-10,G1,XLE,MPC,0.0013650196312233742,,,,0.25239999999999996,1.0,1.0354129227848419,0.025490966409432,0.011503588508329632,-0.9464508481436621,-1.0
3 weeks,2018-09-19,2018-10-10,G2,XLP,MNST,-0.0913688165345391,0.1936,0.018447103760348433,3.9530168920572795,,,,,,,
3 weeks,2018-09-19,2018-10-10,G4,XLP,PG,-0.03047585732499858,0.1139,0.01060244880004509,1.874416835181416,,,,,,,
3 weeks,2018-09-19,2018-10-10,G1,XLP,TGT,-0.02248742060858222,,,,0.193,1.0,1.026923701964435,0.019643590670219632,0.008861092186695592,-1.0,-1.0
3 weeks,2018-09-19,2018-10-10,G4,XLU,CNP,-0.0010750439313809146,0.1704,0.016163294521672714,-0.9334885638605797,,,,,,,
3 weeks,2018-09-19,2018-10-10,G1,XLU,NRG,0.024170615465135104,,,,0.271,1.0,1.0381288900630454,0.02732185745434227,0.012323080004811637,-0.11533776554076547,-1.0
3 weeks,2018-10-10,2018-10-31,G2,XLK,KLAC,-0.024613322312324493,0.38420000000000004,0.037176314227009497,-0.3379300012898454,,,,,,,
3 weeks,2018-10-10,2018-10-31,G4,XLK,CSCO,0.002629859919236921,0.24420000000000003,0.02339844299957755,-1.0,,,,,,,
3 weeks,2018-10-10,2018-10-31,G1,XLK,IBM,-0.19104312478949392,,,,0.3296,1.0,1.046928777697255,0.03311852619328832,0.014880471842753961,-1.0,-1.0
3 weeks,2018-10-10,2018-10-31,G3,XLK,TXN,-0.05653500012887991,,,,0.39909999999999995,1.0,1.0576609425437749,0.03995693824621266,0.017866199645706755,-1.0,-1.0
3 weeks,2018-10-10,2018-10-31,G2,XLY,AMZN,-0.08958267808122367,0.5361,0.05211435742610255,0.7189634969259793,,,,,,,
